id,node_lon,node_lat,center_id,center_lon,center_lat
3528,-73.997795,40.7583834,3461,-73.9980331,40.7510669
3529,-73.9983378,40.7583716,3388,-74.0010621,40.7619572
3530,-73.9949618,40.7562826,3461,-73.9980331,40.7510669
3531,-73.9978958,40.7545383,3461,-73.9980331,40.7510669
3532,-73.9993843,40.7522084,3461,-73.9980331,40.7510669
3533,-73.996758,40.757565,3461,-73.9980331,40.7510669
3534,-73.9951328,40.7566317,3461,-73.9980331,40.7510669
3535,-73.9953727,40.7559056,3461,-73.9980331,40.7510669
3536,-73.9980324,40.7545384,3461,-73.9980331,40.7510669
3537,-73.9983187,40.7542819,3461,-73.9980331,40.7510669
3538,-73.9994662,40.7522409,3461,-73.9980331,40.7510669
3539,-73.9996874,40.7518406,3461,-73.9980331,40.7510669
3540,-73.999556,40.7519412,3461,-73.9980331,40.7510669
3541,-73.9960391,40.7553391,3461,-73.9980331,40.7510669
3542,-73.9963996,40.755102,3461,-73.9980331,40.7510669
3543,-73.9964943,40.7554018,3461,-73.9980331,40.7510669
3544,-73.9985006,40.7534417,3461,-73.9980331,40.7510669
3545,-73.9986974,40.7535262,3461,-73.9980331,40.7510669
3546,-73.9952445,40.7570939,3461,-73.9980331,40.7510669
3547,-73.9889679,40.7424039,4319,-73.9864129,40.7402115
3548,-73.9639988,40.8080665,4174,-73.9666179,40.80414
3549,-73.9630562,40.8109516,1886,-73.9607274,40.8175155
3550,-73.9899105,40.7119696,2161,-73.9867058,40.7159628
3551,-73.9913214,40.7194205,2161,-73.9867058,40.7159628
3552,-73.9921746,40.7196806,2161,-73.9867058,40.7159628
3553,-73.9890504,40.7187279,2161,-73.9867058,40.7159628
3554,-73.9898073,40.7189587,2161,-73.9867058,40.7159628
3555,-73.9882397,40.7184807,2161,-73.9867058,40.7159628
3556,-73.9874505,40.71824,2161,-73.9867058,40.7159628
3557,-73.9866261,40.7179497,2161,-73.9867058,40.7159628
3558,-73.9865384,40.7181209,2161,-73.9867058,40.7159628
3559,-73.9902109,40.7192474,2161,-73.9867058,40.7159628
